iter	Passed	Remaining
439	1328	4709
440	1331	4705
441	1333	4701
442	1337	4702
443	1340	4697
444	1343	4693
445	1345	4689
446	1348	4684
447	1351	4683
448	1355	4680
449	1357	4677
450	1361	4674
451	1364	4671
452	1366	4667
453	1370	4665
454	1372	4661
455	1375	4657
456	1378	4654
457	1381	4650
458	1384	4647
459	1387	4644
460	1390	4640
461	1392	4636
462	1395	4632
463	1398	4628
464	1401	4627
465	1404	4624
466	1407	4619
467	1410	4615
468	1412	4612
469	1415	4608
470	1419	4607
471	1422	4604
472	1424	4599
473	1427	4595
474	1430	4592
475	1433	4589
476	1436	4586
477	1439	4582
478	1442	4579
479	1444	4575
480	1447	4572
481	1450	4569
482	1453	4565
483	1456	4562
484	1459	4559
485	1462	4555
486	1465	4553
487	1468	4550
488	1471	4545
489	1473	4541
490	1476	4538
491	1479	4534
492	1482	4530
493	1485	4528
494	1488	4525
495	1491	4521
496	1493	4517
497	1497	4515
498	1500	4513
499	1503	4510
500	1506	4506
501	1508	4502
502	1512	4500
503	1515	4499
504	1518	4496
505	1522	4495
506	1525	4492
507	1528	4488
508	1531	4486
509	1534	4482
510	1537	4480
511	1540	4476
512	1542	4472
513	1545	4468
514	1548	4464
515	1551	4461
516	1554	4457
517	1556	4453
518	1559	4450
519	1562	4446
520	1565	4444
521	1568	4440
522	1570	4436
523	1573	4433
524	1576	4429
525	1579	4425
526	1582	4423
527	1585	4419
528	1588	4416
529	1591	4413
530	1594	4410
531	1597	4408
532	1600	4405
533	1603	4401
534	1605	4397
535	1608	4393
536	1611	4390
537	1614	4387
538	1618	4386
539	1621	4383
540	1623	4379
541	1626	4375
542	1629	4372
543	1632	4369
544	1635	4366
545	1637	4361
546	1640	4358
547	1643	4354
548	1646	4352
549	1649	4348
550	1652	4345
551	1655	4342
552	1658	4338
553	1661	4335
554	1664	4332
555	1666	4328
556	1669	4324
557	1672	4321
558	1675	4318
559	1677	4314
560	1680	4311
561	1683	4308
562	1686	4305
563	1689	4301
564	1692	4298
565	1695	4296
566	1699	4294
567	1702	4291
568	1704	4287
569	1707	4283
570	1710	4281
571	1713	4277
572	1716	4274
573	1719	4270
574	1722	4268
575	1725	4264
576	1728	4261
577	1731	4259
578	1734	4256
579	1736	4252
580	1739	4248
581	1742	4245
582	1745	4242
583	1748	4238
584	1750	4234
585	1753	4231
586	1756	4228
587	1759	4224
588	1762	4221
589	1765	4218
590	1767	4214
591	1770	4211
592	1773	4207
593	1776	4204
594	1779	4201
595	1781	4197
596	1784	4194
597	1787	4190
598	1790	4187
599	1793	4184
600	1796	4181
601	1799	4179
602	1802	4176
603	1805	4172
604	1808	4169
605	1811	4166
606	1814	4164
607	1817	4161
608	1820	4158
609	1824	4157
610	1827	4154
611	1830	4150
612	1832	4147
613	1835	4144
614	1838	4140
615	1841	4137
616	1844	4135
617	1847	4132
618	1850	4129
619	1853	4126
620	1856	4122
621	1859	4119
622	1862	4116
623	1865	4112
624	1867	4109
625	1870	4106
626	1873	4102
627	1877	4100
628	1879	4097
629	1882	4093
630	1885	4091
631	1888	4087
632	1891	4084
633	1894	4081
634	1896	4077
635	1899	4073
636	1902	4070
637	1905	4067
638	1908	4064
639	1911	4062
640	1915	4060
641	1918	4057
642	1920	4053
643	1924	4052
644	1927	4049
645	1930	4045
646	1933	4042
647	1935	4038
648	1938	4036
649	1942	4033
650	1945	4030
651	1947	4026
652	1950	4023
653	1953	4020
654	1956	4017
655	1959	4015
656	1962	4012
657	1965	4009
658	1968	4005
659	1970	4001
660	1973	3998
661	1976	3995
662	1979	3992
663	1982	3988
664	1985	3986
665	1988	3983
666	1992	3981
667	1995	3978
668	1998	3975
669	2001	3972
670	2003	3969
671	2006	3966
672	2009	3962
673	2012	3959
674	2015	3957
