iter	MAE
580	4252.815486
581	4250.254438
582	4246.647085
583	4241.921578
584	4239.597527
585	4237.097108
586	4225.691159
587	4220.083086
588	4214.357718
589	4210.023546
590	4208.738391
591	4204.190005
592	4198.999643
593	4196.929028
594	4194.878884
595	4191.75779
596	4185.771867
597	4182.005827
598	4177.477461
599	4174.478429
600	4170.013788
601	4167.812648
602	4161.2285
603	4157.442523
604	4146.99022
605	4143.94173
606	4137.648708
607	4128.397313
608	4124.400804
609	4118.30358
610	4114.509192
611	4110.072714
612	4105.532653
613	4099.558396
614	4096.809235
615	4094.901626
616	4087.749581
617	4081.261074
618	4079.27539
619	4074.566851
620	4064.155101
621	4059.11402
622	4056.596134
623	4052.387013
624	4050.309498
625	4047.310914
626	4046.730886
627	4040.650625
628	4036.941633
629	4034.098549
630	4031.85668
631	4027.747391
632	4025.969986
633	4023.269709
634	4019.456645
635	4017.487181
636	4009.852201
637	4007.294531
638	4002.8735
639	4000.399676
640	3995.776163
641	3985.069
642	3977.963467
643	3971.979554
644	3970.894074
645	3967.919422
646	3962.915551
647	3957.424215
648	3951.159074
649	3947.242464
650	3940.459573
651	3938.293603
652	3937.206134
653	3932.879111
654	3928.822793
655	3926.181838
656	3918.809563
657	3912.132107
658	3906.636948
659	3903.736182
660	3902.462238
661	3901.106869
662	3895.874879
663	3891.497725
664	3887.90643
665	3881.367099
666	3876.815843
667	3874.051051
668	3864.641617
669	3861.502405
670	3855.320153
671	3852.372706
672	3849.753199
673	3842.461362
674	3832.763277
675	3826.583203
676	3824.363015
677	3821.264374
678	3814.344275
679	3810.616096
680	3809.56191
681	3799.01431
682	3792.871357
683	3789.717089
684	3787.512658
685	3785.08441
686	3782.172468
687	3778.803327
688	3775.950679
689	3771.326993
690	3765.348719
691	3763.508737
692	3758.627075
693	3750.330306
694	3745.474554
695	3743.345918
696	3741.08018
697	3736.152536
698	3734.413333
699	3725.231318
700	3723.426741
701	3720.305635
702	3718.212844
703	3713.763942
704	3707.955711
705	3705.203608
706	3704.378006
707	3700.572643
708	3697.939671
709	3695.121224
710	3693.068982
711	3688.587502
712	3686.53506
713	3683.100518
714	3679.268718
715	3674.187877
716	3668.755001
717	3665.815956
718	3662.591467
719	3656.130137
720	3652.017841
721	3644.34404
722	3642.655358
723	3640.423704
724	3635.15293
725	3631.981522
726	3628.45195
727	3625.688166
728	3624.417978
729	3619.879985
730	3615.969354
731	3612.772967
732	3611.092658
733	3609.478359
734	3606.989812
735	3600.956878
736	3598.706498
737	3595.806593
738	3592.556082
739	3589.190117
740	3584.624984
741	3581.204131
742	3576.307897
743	3572.844759
744	3570.762144
745	3567.736841
746	3566.292704
747	3565.1879
748	3561.276605
749	3557.466439
750	3552.052941
751	3550.775273
752	3549.003085
753	3544.341639
754	3542.328416
755	3540.853031
756	3536.735207
757	3532.808578
758	3530.265664
759	3527.375626
760	3525.611724
761	3517.435873
762	3516.199265
763	3514.106916
764	3509.275109
765	3508.737906
766	3504.646885
