iter	Passed	Remaining
440	1307	4622
441	1310	4620
442	1315	4624
443	1319	4623
444	1322	4620
445	1325	4619
446	1328	4617
447	1331	4614
448	1336	4615
449	1338	4610
450	1341	4607
451	1344	4604
452	1346	4599
453	1349	4596
454	1352	4592
455	1355	4588
456	1357	4584
457	1360	4581
458	1363	4577
459	1366	4573
460	1368	4569
461	1372	4567
462	1374	4563
463	1377	4561
464	1380	4557
465	1383	4553
466	1386	4551
467	1389	4547
468	1392	4544
469	1395	4541
470	1397	4537
471	1400	4534
472	1403	4530
473	1406	4526
474	1408	4522
475	1411	4519
476	1414	4515
477	1416	4510
478	1419	4506
479	1422	4503
480	1424	4500
481	1427	4496
482	1430	4492
483	1433	4489
484	1435	4485
485	1438	4482
486	1442	4481
487	1445	4477
488	1447	4473
489	1450	4470
490	1453	4468
491	1456	4463
492	1459	4462
493	1463	4462
494	1466	4458
495	1469	4456
496	1474	4459
497	1477	4456
498	1481	4456
499	1484	4452
500	1487	4449
501	1489	4445
502	1492	4441
503	1495	4438
504	1498	4435
505	1500	4431
506	1503	4427
507	1506	4424
508	1509	4420
509	1512	4418
510	1515	4414
511	1517	4410
512	1520	4406
513	1523	4403
514	1525	4399
515	1528	4395
516	1531	4392
517	1533	4388
518	1536	4384
519	1538	4379
520	1542	4377
521	1544	4373
522	1547	4369
523	1549	4365
524	1553	4363
525	1555	4360
526	1558	4355
527	1560	4351
528	1563	4347
529	1566	4344
530	1568	4340
531	1571	4337
532	1574	4333
533	1577	4329
534	1579	4325
535	1582	4321
536	1584	4318
537	1587	4313
538	1590	4311
539	1593	4308
540	1596	4305
541	1599	4301
542	1601	4297
543	1604	4293
544	1607	4292
545	1610	4289
546	1613	4285
547	1615	4281
548	1618	4278
549	1621	4274
550	1624	4272
551	1627	4270
552	1631	4268
553	1634	4265
554	1637	4262
555	1640	4259
556	1643	4256
557	1645	4253
558	1649	4252
559	1652	4249
560	1655	4247
561	1658	4244
562	1662	4242
563	1665	4241
564	1668	4238
565	1671	4234
566	1674	4230
567	1676	4227
568	1679	4223
569	1682	4220
570	1684	4216
571	1687	4212
572	1690	4209
573	1692	4205
574	1695	4201
575	1697	4197
576	1700	4193
577	1703	4191
578	1706	4188
579	1709	4184
580	1712	4181
581	1714	4178
582	1717	4174
583	1720	4171
584	1722	4167
585	1725	4163
586	1728	4160
587	1730	4156
588	1733	4152
589	1736	4149
590	1739	4146
591	1742	4143
592	1744	4139
593	1747	4136
594	1750	4132
595	1752	4128
596	1755	4125
597	1758	4122
598	1760	4118
599	1764	4117
600	1768	4117
601	1771	4114
602	1774	4110
603	1777	4108
604	1780	4105
605	1783	4102
606	1785	4098
607	1789	4096
608	1792	4093
609	1794	4089
610	1797	4086
611	1800	4083
612	1803	4080
613	1807	4079
614	1809	4076
615	1812	4072
616	1815	4069
617	1818	4065
618	1820	4062
619	1823	4058
620	1826	4055
621	1829	4052
622	1832	4049
623	1835	4046
624	1838	4043
625	1840	4040
626	1843	4037
627	1846	4033
628	1849	4031
629	1852	4027
630	1854	4024
631	1857	4021
632	1860	4017
633	1863	4014
634	1866	4011
635	1869	4008
636	1871	4004
637	1874	4001
638	1877	3998
639	1879	3994
640	1882	3991
641	1885	3988
642	1888	3986
643	1891	3982
644	1894	3979
645	1896	3975
646	1899	3972
647	1901	3968
648	1904	3965
649	1907	3961
650	1910	3958
651	1912	3954
652	1915	3950
653	1918	3948
654	1921	3946
655	1924	3943
656	1927	3939
657	1929	3936
658	1932	3932
659	1935	3929
660	1938	3925
661	1940	3922
662	1943	3919
663	1946	3916
664	1949	3912
665	1951	3909
666	1954	3906
667	1957	3903
668	1960	3900
669	1963	3897
670	1966	3894
671	1969	3891
672	1971	3888
673	1974	3884
674	1977	3882
675	1980	3879
676	1983	3876
677	1986	3872
678	1988	3869
679	1991	3865
680	1994	3862
681	1997	3860
682	2000	3856
